"inspection_id","region","year.y","risk_category","lat","long","popInfo"
852437,"ne",2017,"3",38.917587,-77.003584,"852437 <br> ne <br> 3 <br>"
607362,"nw",2015,"3",38.983858,-77.026655,"607362 <br> nw <br> 3 <br>"
821046,"ne",2015,"3",38.894604,-76.913744,"821046 <br> ne <br> 3 <br>"
833681,"nw",2016,"3",38.901259,-77.042561,"833681 <br> nw <br> 3 <br>"
9538,"nw",2010,"3",38.907238,-77.03195,"9538 <br> nw <br> 3 <br>"
118676,"nw",2012,"3",38.892625,-77.013559,"118676 <br> nw <br> 3 <br>"
606806,"nw",2014,"4",38.968465,-77.026144,"606806 <br> nw <br> 4 <br>"
180971,"ne",2013,"3",38.93463,-76.991092,"180971 <br> ne <br> 3 <br>"
821028,"ne",2015,"3",38.901526,-77.006186,"821028 <br> ne <br> 3 <br>"
833275,"ne",2016,"3",38.907069,-77.005081,"833275 <br> ne <br> 3 <br>"
405204,"ne",2014,"3",38.898984,-76.933814,"405204 <br> ne <br> 3 <br>"
183235,"nw",2013,"3",38.916989,-77.023955,"183235 <br> nw <br> 3 <br>"
199817,"ne",2013,"3",38.932754,-76.991086,"199817 <br> ne <br> 3 <br>"
825410,"nw",2016,"3",38.944051,-77.077426,"825410 <br> nw <br> 3 <br>"
811932,"nw",2015,"3",38.936297,-77.032656,"811932 <br> nw <br> 3 <br>"
203126,"nw",2014,"3",38.946212,-77.094872,"203126 <br> nw <br> 3 <br>"
835108,"nw",2017,"3",38.894837,-77.027112,"835108 <br> nw <br> 3 <br>"
118167,"nw",2011,"3",38.900704,-77.0449,"118167 <br> nw <br> 3 <br>"
122155,"se",2011,"3",38.888449,-76.937138,"122155 <br> se <br> 3 <br>"
611567,"nw",2015,"3",38.898455,-77.022933,"611567 <br> nw <br> 3 <br>"
116559,"sw",2012,"4",38.831398,-77.007677,"116559 <br> sw <br> 4 <br>"
104954,"nw",2013,"3",38.918651,-77.041606,"104954 <br> nw <br> 3 <br>"
183363,"nw",2013,"3",38.897522,-77.028164,"183363 <br> nw <br> 3 <br>"
112124,"nw",2012,"3",38.925626,-77.038108,"112124 <br> nw <br> 3 <br>"
832546,"nw",2016,"3",38.909644,-77.044236,"832546 <br> nw <br> 3 <br>"
836969,"sw",2017,"4",38.831398,-77.007677,"836969 <br> sw <br> 4 <br>"
824675,"nw",2016,"3",38.915782,-77.045197,"824675 <br> nw <br> 3 <br>"
813875,"nw",2015,"3",38.904414,-77.062865,"813875 <br> nw <br> 3 <br>"
11006,"sw",2011,"3",38.887594,-76.992644,"11006 <br> sw <br> 3 <br>"
118120,"nw",2011,"3",38.902532,-77.061134,"118120 <br> nw <br> 3 <br>"
183729,"nw",2013,"4",38.902596,-77.017965,"183729 <br> nw <br> 4 <br>"
831441,"nw",2016,"3",38.955439,-77.02784,"831441 <br> nw <br> 3 <br>"
142574,"se",2012,"3",38.833647,-77.008411,"142574 <br> se <br> 3 <br>"
98490,"nw",2012,"3",38.903742,-77.038508,"98490 <br> nw <br> 3 <br>"
104417,"nw",2011,"3",38.916534,-77.04158,"104417 <br> nw <br> 3 <br>"
158212,"nw",2012,"3",38.914876,-77.021842,"158212 <br> nw <br> 3 <br>"
204419,"nw",2014,"3",38.899888,-77.022012,"204419 <br> nw <br> 3 <br>"
606288,"nw",2014,"3",38.89734,-77.0199,"606288 <br> nw <br> 3 <br>"
199824,"nw",2013,"4",38.892759,-77.019899,"199824 <br> nw <br> 4 <br>"
